sea_point_id,name,x,y,ed_raw,hst_raw,pal_raw
56,Arabian Sea,9059.0,3149.0,0,0,0
3303,Sea of Azov,7728.0,2053.0,0,0,0
3304,Sea of Azov,7677.0,2097.0,0,0,0
3305,Persian Gulf,8507.0,3152.0,0,0,0
3306,Sea of Azov,7758.0,2033.0,0,0,0
3308,Sea of Azov,7736.0,2095.0,0,0,0
3309,Black Sea,7738.0,2128.0,0,0,0
3310,Black Sea,7843.0,2164.0,0,0,0
3311,Caspian Sea,8491.0,2533.0,0,0,0
3312,Black Sea,7931.0,2187.0,0,0,0
3313,Black Sea,7981.0,2226.0,0,0,0
3314,South China Sea,11423.0,3123.0,0,0,0
3315,Black Sea,8006.0,2263.0,0,0,0
3316,Atlantic Ocean,3748.0,6127.0,0,0,0
3317,Black Sea,7995.0,2292.0,0,0,0
3318,Black Sea,7957.0,2321.0,0,0,0
3319,Black Sea,7907.0,2337.0,0,0,0
3320,Black Sea,7831.0,2341.0,0,0,0
3321,Black Sea,7738.0,2347.0,0,0,0
3322,Black Sea,7655.0,2366.0,0,0,0
3323,Black Sea,7599.0,2406.0,0,0,0
3324,Caspian Sea,8459.0,2452.0,0,0,0
3325,East China Sea,11440.0,3065.0,0,0,0
3326,Persian Gulf,8405.0,3072.0,0,0,0
3327,Sea of Marmara,7499.0,2519.0,0,0,0
3328,Sea of Marmara,7424.0,2548.0,0,0,0
3329,Aegean Sea,7375.0,2608.0,0,0,0
3330,Pacific Ocean,12061.0,2643.0,0,0,0
3331,Aegean Sea,7318.0,2574.0,0,0,0
3333,Thermaic Gulf,7244.0,2603.0,0,0,0
3334,Pacific Ocean,11597.0,3615.0,0,0,0
3335,East China Sea,11472.0,3036.0,0,0,0
3336,Aegean Sea,7293.0,2644.0,0,0,0
3337,Arafura Sea,12203.0,4551.0,0,0,0
3338,Aegean Sea,7398.0,2639.0,0,0,0
3339,Aegean Sea,7397.0,2692.0,0,0,0
3340,Aegean Sea,7427.0,2723.0,0,0,0
3341,Mediterranean Sea,7490.0,2752.0,0,0,0
3342,Mediterranean Sea,7578.0,2782.0,0,0,0
3343,Antalya Basin,7628.0,2741.0,0,0,0
3344,Antalya Basin,7698.0,2754.0,0,0,0
3345,Adana Trough,7749.0,2748.0,0,0,0
3346,Gulf of California,1709.0,2586.0,0,0,0
3347,Adana Trough,7800.0,2708.0,0,0,0
3348,Mediterranean Sea,7807.0,2757.0,0,0,0
