province_id,province_name,vertex_index,x,y,bt_mask,has_coast_bit,has_same_core_border_bit,has_different_core_border_bit,neighbor_ids
0,Las Palmas,0,6132.0,2653.0,1,True,False,False,
0,Las Palmas,1,6136.0,2650.0,1,True,False,False,
0,Las Palmas,2,6142.0,2650.0,1,True,False,False,
0,Las Palmas,3,6154.0,2642.0,1,True,False,False,
0,Las Palmas,4,6160.0,2642.0,1,True,False,False,
0,Las Palmas,5,6164.0,2649.0,1,True,False,False,
0,Las Palmas,6,6164.0,2661.0,1,True,False,False,
0,Las Palmas,7,6167.0,2668.0,1,True,False,False,
0,Las Palmas,8,6164.0,2676.0,1,True,False,False,
0,Las Palmas,9,6158.0,2680.0,1,True,False,False,
0,Las Palmas,10,6151.0,2683.0,1,True,False,False,
0,Las Palmas,11,6143.0,2683.0,1,True,False,False,
0,Las Palmas,12,6137.0,2676.0,1,True,False,False,
0,Las Palmas,13,6124.0,2666.0,1,True,False,False,
1,Murmansk,0,7397.0,670.0,3,True,True,False,3
1,Murmansk,1,7400.0,676.0,1,True,False,False,
1,Murmansk,2,7408.0,670.0,1,True,False,False,
1,Murmansk,3,7413.0,668.0,1,True,False,False,
1,Murmansk,4,7415.0,670.0,1,True,False,False,
1,Murmansk,5,7410.0,677.0,1,True,False,False,
1,Murmansk,6,7411.0,685.0,1,True,False,False,
1,Murmansk,7,7407.0,687.0,1,True,False,False,
1,Murmansk,8,7405.0,690.0,1,True,False,False,
1,Murmansk,9,7411.0,691.0,1,True,False,False,
1,Murmansk,10,7417.0,683.0,1,True,False,False,
1,Murmansk,11,7419.0,677.0,3,True,True,False,2
1,Murmansk,12,7426.0,691.0,2,False,True,False,2
1,Murmansk,13,7419.0,706.0,2,False,True,False,2
1,Murmansk,14,7406.0,718.0,2,False,True,False,2
1,Murmansk,15,7396.0,720.0,2,False,True,False,2|3
1,Murmansk,16,7380.0,721.0,2,False,True,False,3
1,Murmansk,17,7371.0,711.0,2,False,True,False,3
1,Murmansk,18,7368.0,695.0,2,False,True,False,3
1,Murmansk,19,7375.0,684.0,2,False,True,False,3
2,Apatity,0,7345.0,771.0,2,False,True,False,3
2,Apatity,1,7358.0,767.0,2,False,True,False,3
2,Apatity,2,7388.0,739.0,2,False,True,False,3
2,Apatity,3,7396.0,720.0,2,False,True,False,1|3
2,Apatity,4,7406.0,718.0,2,False,True,False,1
2,Apatity,5,7419.0,706.0,2,False,True,False,1
2,Apatity,6,7426.0,691.0,2,False,True,False,1
2,Apatity,7,7419.0,677.0,3,True,True,False,1
2,Apatity,8,7433.0,672.0,1,True,False,False,
2,Apatity,9,7441.0,672.0,1,True,False,False,
2,Apatity,10,7445.0,677.0,1,True,False,False,
2,Apatity,11,7467.0,678.0,1,True,False,False,
2,Apatity,12,7474.0,674.0,1,True,False,False,
2,Apatity,13,7482.0,679.0,1,True,False,False,
2,Apatity,14,7532.0,695.0,1,True,False,False,
2,Apatity,15,7543.0,700.0,1,True,False,False,
2,Apatity,16,7554.0,703.0,1,True,False,False,
2,Apatity,17,7560.0,711.0,1,True,False,False,
2,Apatity,18,7567.0,716.0,3,True,True,False,21
2,Apatity,19,7557.0,748.0,2,False,True,False,21
2,Apatity,20,7536.0,790.0,2,False,True,False,21
2,Apatity,21,7522.0,796.0,2,False,True,False,21
2,Apatity,22,7509.0,799.0,2,False,True,False,21
2,Apatity,23,7496.0,806.0,2,False,True,False,21
2,Apatity,24,7482.0,826.0,2,False,True,False,21
2,Apatity,25,7478.0,835.0,2,False,True,False,21
2,Apatity,26,7465.0,855.0,2,False,True,False,21
2,Apatity,27,7450.0,868.0,3,True,True,False,21
2,Apatity,28,7432.0,862.0,1,True,False,False,
2,Apatity,29,7430.0,863.0,1,True,False,False,
