node_id,x,y,kind,location_id,location_name,degree
0,0.0,1278.0,sea_point,4805,Bering Sea,2
1,0.0,1283.0,sea_point,4301,Bering Sea,4
2,1.0,715.0,sea_point,4157,Bering Sea,2
3,3.0,1270.0,sea_point,4300,Bering Sea,2
4,7.0,790.0,sea_point,3369,Bering Sea,3
5,7.0,889.0,sea_point,7014,Bering Sea,5
6,7.0,1419.0,sea_point,7022,Pacific Ocean,4
7,7.0,3260.0,sea_point,7073,Pacific Ocean,3
8,7.0,3510.0,sea_point,7079,Pacific Ocean,3
9,7.0,4134.0,sea_point,7745,Pacific Ocean,4
10,7.0,4290.0,sea_point,7839,Pacific Ocean,4
11,7.0,4446.0,sea_point,7918,Pacific Ocean,4
12,7.0,4695.0,sea_point,7980,Pacific Ocean,4
13,11.0,5616.0,sea_point,8044,Pacific Ocean,3
14,13.0,4960.0,sea_point,8005,Pacific Ocean,3
15,15.0,1996.0,sea_point,7340,Pacific Ocean,3
16,16.0,1747.0,sea_point,7334,Pacific Ocean,3
17,18.0,734.0,sea_point,3363,Bering Sea,4
18,22.0,2659.0,sea_point,4983,Pacific Ocean,4
19,23.0,5475.0,sea_point,8026,Pacific Ocean,5
20,26.53,2657.29,path_vertex,,,2
21,28.0,2813.0,sea_point,7055,Pacific Ocean,4
22,30.0,2664.0,sea_point,4771,Pacific Ocean,2
23,31.0,2627.0,sea_point,4982,Pacific Ocean,4
24,31.0,3120.0,sea_point,7069,Pacific Ocean,4
25,31.0,5335.0,sea_point,8006,Pacific Ocean,4
26,36.37,2633.09,path_vertex,,,2
27,39.0,4009.0,sea_point,7619,Pacific Ocean,4
28,39.0,4570.0,sea_point,7951,Pacific Ocean,4
29,42.0,2664.0,sea_point,4984,Pacific Ocean,3
30,46.0,1622.0,sea_point,7023,Pacific Ocean,5
31,46.0,2152.0,sea_point,7036,Pacific Ocean,4
32,46.0,2644.0,province_center,1062,Sand Island,3
33,54.0,1014.0,sea_point,7016,Bering Sea,4
34,54.0,3759.0,sea_point,7353,Pacific Ocean,4
35,54.0,5194.0,sea_point,7982,Pacific Ocean,3
36,55.620000000000005,2648.4,path_vertex,,,2
37,61.0,766.0,sea_point,4290,Bering Sea,4
38,63.01,731.01,path_vertex,,,2
39,67.0,1284.0,sea_point,4302,Bering Sea,2
40,68.0,2619.0,sea_point,4979,Pacific Ocean,4
41,69.0,2654.0,sea_point,4978,Pacific Ocean,4
42,70.0,4851.0,sea_point,7981,Pacific Ocean,5
43,73.0,642.0,sea_point,4289,Chukchi Sea,3
44,78.0,2308.0,sea_point,6591,Pacific Ocean,4
45,78.0,2995.0,sea_point,6857,Pacific Ocean,4
46,78.0,3400.0,sea_point,5874,Pacific Ocean,5
47,85.0,483.0,sea_point,5177,Chukchi Sea,4
48,85.0,3884.0,sea_point,7458,Pacific Ocean,4
49,85.0,5070.0,sea_point,7954,Pacific Ocean,5
50,87.53,2639.6,path_vertex,,,2
51,91.0,2642.0,province_center,1063,Eastern Island,2
52,95.2,2646.9,path_vertex,,,2
53,100.0,2650.0,sea_point,4981,Pacific Ocean,3
54,101.0,3634.0,sea_point,7084,Pacific Ocean,5
55,109.0,1497.0,sea_point,6567,Pacific Ocean,5
56,109.0,1872.0,sea_point,7337,Pacific Ocean,6
57,109.0,2464.0,sea_point,5797,Pacific Ocean,5
58,109.0,4212.0,sea_point,7793,Pacific Ocean,6
59,109.0,4368.0,sea_point,7883,Pacific Ocean,5
60,109.0,5772.0,sea_point,8027,Pacific Ocean,3
61,111.0,2624.0,sea_point,4980,Pacific Ocean,6
62,124.0,2776.0,sea_point,5818,Pacific Ocean,6
63,129.0,1171.0,sea_point,4299,Bering Sea,4
64,140.0,1716.0,sea_point,7202,Pacific Ocean,6
65,140.0,2028.0,sea_point,7207,Pacific Ocean,6
66,140.0,4087.0,sea_point,7685,Pacific Ocean,6
67,140.0,4492.0,sea_point,7919,Pacific Ocean,7
68,140.0,4648.0,sea_point,7952,Pacific Ocean,6
69,140.0,5647.0,sea_point,8007,Pacific Ocean,6
70,145.0,793.0,sea_point,4794,Bering Sea,2
71,148.0,3510.0,sea_point,6336,Pacific Ocean,5
72,154.0,930.0,sea_point,4294,Bering Sea,5
73,159.0,3285.0,sea_point,4976,Pacific Ocean,5
74,167.32,3282.05,path_vertex,,,2
75,171.0,1372.0,sea_point,5572,Gulf of Alaska,6
76,171.0,2901.0,sea_point,6614,Pacific Ocean,6
77,171.0,4773.0,sea_point,7953,Pacific Ocean,6
78,171.0,4960.0,sea_point,7921,Pacific Ocean,6
79,176.0,3251.0,sea_point,4975,Pacific Ocean,5
80,179.0,2230.0,sea_point,6831,Pacific Ocean,6
81,179.0,3104.0,sea_point,5844,Pacific Ocean,6
82,179.0,5506.0,sea_point,7983,Pacific Ocean,5
83,183.44,3270.62,path_vertex,,,2
84,185.0,3277.0,province_center,1061,Johnston Atoll,4
85,186.33,3284.2400000000002,path_vertex,,,2
86,187.0,3962.0,sea_point,7544,Pacific Ocean,6
87,187.0,5366.0,sea_point,7955,Pacific Ocean,6
88,190.0,3301.0,sea_point,4974,Pacific Ocean,5
89,195.0,327.0,sea_point,3977,Chukchi Sea,4
90,196.0,1039.0,sea_point,4295,Bering Sea,4
91,202.0,1591.0,sea_point,6816,Pacific Ocean,6
92,202.0,3712.0,sea_point,7233,Pacific Ocean,6
93,210.0,2386.0,sea_point,6275,Pacific Ocean,6
94,210.0,2542.0,sea_point,5802,Pacific Ocean,6
95,210.0,4290.0,sea_point,7840,Pacific Ocean,6
96,210.0,5226.0,sea_point,7922,Pacific Ocean,7
97,211.0,3265.0,path_vertex,,,2
98,214.0,721.0,province_center,665,Nome,5
99,217.0,790.0,sea_point,4291,Bering Sea,5
100,221.0,477.0,sea_point,4285,Chukchi Sea,4
101,221.0,1246.0,sea_point,4303,Gulf of Alaska,4
102,224.0,3256.0,sea_point,4977,Pacific Ocean,4
103,227.35,623.16,path_vertex,,,2
104,229.0,874.0,sea_point,4293,Bering Sea,3
105,233.0,577.0,sea_point,4286,Chukchi Sea,5
106,234.0,3837.0,sea_point,7355,Pacific Ocean,6
107,241.0,1950.0,sea_point,7339,Pacific Ocean,6
108,241.0,2667.0,sea_point,5810,Pacific Ocean,6
