province_id,province_name,region_id,region_name
0,Las Palmas,0,Europe
1,Murmansk,0,Europe
2,Apatity,0,Europe
3,Ivalo,0,Europe
4,Enontekiö,0,Europe
5,Rovaniemi,0,Europe
6,Oulu,0,Europe
7,Kokkola,0,Europe
8,Vaasa,0,Europe
9,Pori,0,Europe
10,Manchester,0,Europe
11,Turku,0,Europe
12,Jyväskylä,0,Europe
13,Tampere,0,Europe
14,Helsinki,0,Europe
15,Lappeenranta,0,Europe
16,Joensuu,0,Europe
17,Kem,0,Europe
18,Iisalmi,0,Europe
19,Kuusamo,0,Europe
20,Loukhi,0,Europe
21,Tetrino,0,Europe
22,Kiruna,0,Europe
23,Luleå,0,Europe
24,Arjeborg,0,Europe
25,Umeå,0,Europe
26,Vilhelmina,0,Europe
27,Östersund,0,Europe
28,Stockholm,0,Europe
29,Malmö,0,Europe
30,Härnösand,0,Europe
31,Falun,0,Europe
32,Lofsdalen,0,Europe
33,Mora,0,Europe
34,Karlstad,0,Europe
35,Gothenburg,0,Europe
36,Linköping,0,Europe
37,Växjö,0,Europe
38,Visby,0,Europe
39,Rosenheim,0,Europe
40,Narvik,0,Europe
41,Brześć,0,Europe
42,Alta,0,Europe
43,Bodø,0,Europe
44,Steinkjer,0,Europe
45,Trondheim,0,Europe
46,Oslo,0,Europe
47,Dęblin,0,Europe
48,Hamar,0,Europe
49,Mazyr,0,Europe
50,Bergen,0,Europe
51,Stryn,0,Europe
52,Rjukan,0,Europe
53,Kristiansand,0,Europe
54,Tallinn,0,Europe
55,Haapsalu,0,Europe
57,Bern,0,Europe
58,Pärnu,0,Europe
59,Valga,0,Europe
60,London,0,Europe
61,Cēsis,0,Europe
62,Riga,0,Europe
63,Ludza,0,Europe
64,Daugavpils,0,Europe
65,Vilnius,0,Europe
66,Alytus,0,Europe
67,Kaunas,0,Europe
68,Tauragė,0,Europe
69,Klaipėda,0,Europe
70,Talsi,0,Europe
71,Athlone,0,Europe
72,Danzig,0,Europe
73,Bydgoszcz,0,Europe
74,Poznań,0,Europe
75,Warsaw,0,Europe
76,Łódź,0,Europe
77,Płock,0,Europe
78,Kraków,0,Europe
79,Lwów,0,Europe
80,Tarnów,0,Europe
81,Lublin,0,Europe
82,Kielce,0,Europe
83,Łomża,0,Europe
84,Wilno,0,Europe
85,Lida,0,Europe
86,Stanisławów,0,Europe
87,Brody,0,Europe
88,Sarny,0,Europe
89,Kowel,0,Europe
90,Edinburgh,0,Europe
91,Lutsk,6,Russia
92,Kiev,6,Russia
93,Odessa,6,Russia
94,Salisbury,0,Europe
95,Kharkiv,6,Russia
96,Stalino,6,Russia
97,Luhansk,6,Russia
98,Poltava,6,Russia
99,Cherkasy,6,Russia
100,Chernihiv,6,Russia
101,Zaporizhzhia,6,Russia
102,Dnipropetrovsk,6,Russia
103,Sevastopol,6,Russia
104,Melitopol,6,Russia
105,Kirovohrad,6,Russia
106,Vinnytsia,6,Russia
107,Lviv,6,Russia
108,Zhytomyr,6,Russia
109,Mykolayiv,6,Russia
110,Ternopil,6,Russia
111,Uman,6,Russia
112,Korosten,6,Russia
113,Hamburg,0,Europe
